"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description"
"Honda","Hr-v","2016 (16 reg)",NA,"1.6L","Manual","50,743 miles
20,856 miles below average","Diesel","5","1.6 i-DTEC SE SUV 5dr Diesel Manual Euro 6 (s/s) (120 ps) PARKING SENSORS + CRUISE CONTROL"
NA,NA,NA,NA,"Automatic",NA,NA,NA,"5",NA
"Vauxhall","Astra GTC","2016 (16 reg)",NA,"1.4L","Manual","34,955 miles
26,962 miles below average","Petrol","3","1.4i Turbo Sport Coupe 3dr Petrol Manual Euro 6 (s/s) (120 ps) - Cruise Control + Air Conditioning"
"Ford","KA","2011 (11 reg)","£600","1.2L","Manual","88,000 miles
17,590 miles above average","Petrol","3","1.2 Edge Hatchback 3dr Petrol Manual Euro 5 (s/s) (69 ps)"
"Peugeot","208","2015 (15 reg)","£1,490","1.0L","Manual","63,000 miles
399 miles below average","Petrol","3","1.0 VTi PureTech Active 3dr"
"SEAT","Ibiza","2009 (09 reg)","£2,199","Manual","Manual","79,000 miles","Petrol","5","1.4 16V Sport Sport Coupe Euro 4 3dr"
"Renault","Megane","2013 (13 reg)","£1,495","Manual","Manual","101,000 miles
14,085 miles above average","Diesel","5","1.5 dCi Dynamique TomTom Euro 5 (s/s) 3dr"
"Ford","Puma","2002 (02 reg)","£400","1.7L","Manual","83,000 miles","Petrol","3","1.7 3dr"
"Microcar","M8",NA,"£990","2013 (13 reg)",NA,"16,200 miles",NA,NA,NA
"Volkswagen","Touran","2010 (10 reg)","£1,000","Manual","Manual","83,000 miles
36,848 miles below average","Diesel","7","1.9 TDI BlueMotion Tech S 5dr (7 Seats)"
"Vauxhall","Vectra","2006 (06 reg)","£595","1.8L","Manual","75,959 miles","Petrol","5","1.8 VVT Exclusiv 5dr"
"Jeep","Patriot","2008 (57 reg)","£800","2.0L","Manual","109,006 miles","Diesel","5","2.0 CRD Limited 4x4 5dr"
"KIA","Ceed","2012 (62 reg)","£2,499","1.6L","Manual","132,000 miles
35,745 miles above average","Diesel","5","1.6 CRDi EcoDynamics 3 Euro 5 (s/s) 5dr"
"Vauxhall","Insignia","2010 (60 reg)",NA,"2.0L","Manual","120,000 miles
15,745 miles above average","Diesel","5","2.0 CDTi Elite Hatchback 5dr Diesel Manual Euro 5 (160 ps)"
NA,NA,NA,NA,"5",NA,NA,NA,NA,NA
"Audi","A1 Sportback","2023 (23 reg)",NA,"Manual","Manual","26,011 miles
13,616 miles above average","Petrol","5","Technik 25 TFSI 95 PS 5-speed 1.0 5dr"
"Fiat","Seicento","2002 (51 reg)","£795","Manual","Manual","91,000 miles","Petrol","4","1.1 Sporting 3dr"
"Vauxhall","Corsa","2011 (11 reg)","£995","1.2L","Manual","98,408 miles
18,022 miles above average","Petrol","3","1.2 16V Excite Euro 5 3dr"
"Volvo","960","1992 (K reg)","£750","3.0L","Automatic","130,000 miles","Petrol","5","3.0 5dr"
"Vauxhall","Corsa","2013 (13 reg)",NA,"1.4L","Manual","101,138 miles
24,422 miles above average","Petrol","3","1.4 SRI 3d 98 BHP *** FULL SERVICE HISTORY ***"
"Volkswagen","Golf","2005 (05 reg)","£485","1.4L","Manual","140,000 miles","Petrol","5","1.4 S 5dr"
"Suzuki","Grand Vitara","2008 (08 reg)","£1,495","1.6L","Manual","85,000 miles","Petrol","3","1.6 VVT + 4WD Euro 4 3dr"
"Vauxhall","Astra","2009 (59 reg)","£799","1.4L","Manual","90,000 miles","Petrol","5","1.4i 16v Active 5dr"
"Audi","A3","2012 (12 reg)","£3,499","Manual","Manual","89,000 miles
18,127 miles below average","Diesel","5","1.6 TDI Sport Sportback Euro 5 (s/s) 5dr"
"Audi","A3","2008 (08 reg)","£995","Manual","Manual","127,000 miles","Diesel","5","1.9 TDI Sport Sportback 5dr"
"Fiat","500","2012 (12 reg)","£1,195","0.9L","Manual","104,000 miles
34,027 miles above average","Petrol","3","0.9 TwinAir Euro 5 (s/s) 3dr"
"Vauxhall","Astra","2012 (12 reg)","£1,599","2.0L","Manual","115,101 miles
13,305 miles above average","Diesel","5","2.0 CDTi ecoFLEX SRi Euro 5 (s/s) 5dr"
"Renault","Kadjar","2020 (20 reg)","£11,227","1.3L","Manual","50,953 miles
18,189 miles above average","Petrol","5","1.3 TCe Iconic SUV 5dr Petrol Manual Euro 6 (s/s) (140 ps)"
NA,NA,NA,NA,"5",NA,NA,NA,NA,NA
"Vauxhall","Grandland X","2019 (19 reg)","£9,059","Manual","Manual","71,771 miles
28,342 miles above average","Petrol","5","1.2 Turbo GPF Sport Nav (130 ps) - AMBIENT INTERIOR LIGHTING 5dr"
"Hyundai","i20","2010 (10 reg)","£750","1.2L","Manual","115,000 miles
36,999 miles above average","Petrol","5","1.2 Comfort Euro 4 5dr"
"KIA","Sportage","2013 (63 reg)","£3,995","1.7L","Manual","64,000 miles
23,254 miles below average","Diesel","5","1.7 CRDi EcoDynamics 2 2WD Euro 5 (s/s) 5dr"
"Citroen","C3","2014 (14 reg)",NA,"1.0L","Manual","66,341 miles
5,632 miles above average","Petrol","5","1.0 VTi VTR+ Euro 5 5dr"
"Citroen","C3 Pluriel","2009 (09 reg)","£800","1.4L","Manual","102,000 miles","Petrol","2","1.4i Code 2dr"
"Nissan","Qashqai","2007 (57 reg)","£777","1.5L","Manual","84,000 miles","Diesel","5","1.5 dCi Tekna 2WD 5dr"
"Citroen","C1","2009 (09 reg)","£995","1.0L","Manual","58,000 miles","Petrol","3","1.0i VTR Euro 4 3dr"
"Volvo","V40","2013 (13 reg)","£1,500","1.6L","Manual","159,000 miles
56,806 miles above average","Diesel","5","1.6 D2 R-Design Euro 5 (s/s) 5dr"
"Mazda","2","2009 (09 reg)",NA,"1.3L","Manual","66,000 miles","Petrol","5","1.3 TS 5d 74 BHP * ACCIDENT DAMAGED NOT RECORDED *"
"Vauxhall","Insignia","2011 (61 reg)","£999","Manual","Manual","82,325 miles
21,592 miles below average","Diesel","5","2.0 CDTi SRi 4WD Euro 5 (s/s) 5dr"
"Vauxhall","Corsa","2009 (09 reg)","£600","Petrol","Manual","99,978 miles","Petrol","Manual",NA
"Ford","Mondeo","2012 (62 reg)",NA,"2.0L","Manual","77,880 miles
22,350 miles below average","Diesel","5","2.0 TDCi Titanium X Sport Hatchback 5dr Diesel Manual Euro 5 (163 ps) NATIONWIDE DELIVERY FROM £99"
"Ford","Focus","2017 (17 reg)","£8,579","1.5L","Manual","57,283 miles
1,805 miles below average","Petrol","5","1.5T EcoBoost ST-Line (150 ps) - KEYLESS START - CLIMATE CONTROL - DAB 5dr"
NA,NA,NA,NA,"5",NA,NA,NA,NA,NA
"Ford","Focus","2017 (17 reg)","£8,579","1.5L","Manual","57,283 miles
1,805 miles below average","Petrol","5","1.5T EcoBoost ST-Line (150 ps) - KEYLESS START - CLIMATE CONTROL - DAB 5dr"
"SEAT","Ibiza","2008 (08 reg)","£990","Manual","Manual","108,000 miles","Petrol","5","1.4 16v Sportrider 3dr"
"Hyundai","i20","2011 (11 reg)","£1,999","1.2L","Manual","60,038 miles
14,451 miles below average","Petrol","3","1.2 Edition Euro 5 3dr"
"Ford","Fiesta","2009 (59 reg)","£895","Manual","Manual","107,000 miles","Petrol","5","1.4 Zetec 5dr"
"Volvo","S40","2011 (11 reg)","£695","Manual","Manual","198,900 miles
105,117 miles above average","Diesel","5","1.6D DRIVe ES Euro 4 (s/s) 4dr"
"Citroen","DS3","2011 (61 reg)","£1,250","1.6L","Manual","99,696 miles
5,150 miles above average","Diesel","3","1.6 e-HDi Airdream DStyle Plus 3dr"
"Nissan","Micra","2002 (52 reg)","£799","Manual","Manual","66,290 miles","Petrol","5","1.0 16v Tempest 3dr"
"Volkswagen","Golf","2008 (08 reg)","£2,495","Manual","Manual","120,000 miles","Diesel","5","2.0 TDI GT 5dr"
"Vauxhall","Corsa","2009 (59 reg)","£1,595","Manual","Manual","78,000 miles","Petrol","5","1.2i 16v SXi 3dr"
"SEAT","Ibiza","2009 (59 reg)","£995","1.6L","Manual","120,610 miles","Petrol","3","1.6 16V Sport Sport Coupe Euro 4 3dr"
"Volkswagen","Polo","2011 (61 reg)","£2,495","Manual","Manual","101,825 miles
24,524 miles above average","Petrol","5","1.2 Match Euro 5 3dr"
"Suzuki","Swift","2008 (08 reg)","£1,195","Manual","Manual","104,093 miles","Petrol","5","1.3 GL Hatchback 5dr Petrol Manual (140 g/km, 91 bhp) SUPER TO DRIVE IDEAL 1ST CAR"
"Honda","Hr-v","2016 (16 reg)",NA,"1.6L","Manual","50,743 miles
20,856 miles below average","Diesel","5","1.6 i-DTEC SE SUV 5dr Diesel Manual Euro 6 (s/s) (120 ps) PARKING SENSORS + CRUISE CONTROL"
NA,NA,NA,NA,"Automatic",NA,NA,NA,"5",NA
"Vauxhall","Astra GTC","2016 (16 reg)",NA,"1.4L","Manual","34,955 miles
26,962 miles below average","Petrol","3","1.4i Turbo Sport Coupe 3dr Petrol Manual Euro 6 (s/s) (120 ps) - Cruise Control + Air Conditioning"
"Ford","KA","2011 (11 reg)","£600","1.2L","Manual","88,000 miles
17,590 miles above average","Petrol","3","1.2 Edge Hatchback 3dr Petrol Manual Euro 5 (s/s) (69 ps)"
"Peugeot","208","2015 (15 reg)","£1,490","1.0L","Manual","63,000 miles
399 miles below average","Petrol","3","1.0 VTi PureTech Active 3dr"
"SEAT","Ibiza","2009 (09 reg)","£2,199","Manual","Manual","79,000 miles","Petrol","5","1.4 16V Sport Sport Coupe Euro 4 3dr"
"Renault","Megane","2013 (13 reg)","£1,495","Manual","Manual","101,000 miles
14,085 miles above average","Diesel","5","1.5 dCi Dynamique TomTom Euro 5 (s/s) 3dr"
"Ford","Puma","2002 (02 reg)","£400","1.7L","Manual","83,000 miles","Petrol","3","1.7 3dr"
"Microcar","M8",NA,"£990","2013 (13 reg)",NA,"16,200 miles",NA,NA,NA
"Volkswagen","Touran","2010 (10 reg)","£1,000","Manual","Manual","83,000 miles
36,848 miles below average","Diesel","7","1.9 TDI BlueMotion Tech S 5dr (7 Seats)"
"Vauxhall","Vectra","2006 (06 reg)","£595","1.8L","Manual","75,959 miles","Petrol","5","1.8 VVT Exclusiv 5dr"
"Jeep","Patriot","2008 (57 reg)","£800","2.0L","Manual","109,006 miles","Diesel","5","2.0 CRD Limited 4x4 5dr"
"KIA","Ceed","2012 (62 reg)","£2,499","1.6L","Manual","132,000 miles
35,745 miles above average","Diesel","5","1.6 CRDi EcoDynamics 3 Euro 5 (s/s) 5dr"
"Vauxhall","Insignia","2010 (60 reg)",NA,"2.0L","Manual","120,000 miles
15,745 miles above average","Diesel","5","2.0 CDTi Elite Hatchback 5dr Diesel Manual Euro 5 (160 ps)"
NA,NA,NA,NA,"5",NA,NA,NA,NA,NA
"Volkswagen","E-golf","2020 (70 reg)","£10,531","Hatchback","Automatic","34,590 miles
9,029 miles above average","Electric","5","35.8kWh e-Golf (136 ps) - DAB - USB AUDIO - SPLIT FOLDING REAR SEATS 5dr"
"Mazda","Mazda3","2009 (09 reg)","£1,750","Manual","Manual","105,000 miles","Diesel","5","2.2d Sport Euro 5 5dr"
"Vauxhall","Corsa","2012 (12 reg)","£2,250","1.2L","Manual","68,000 miles
9,490 miles below average","Petrol","5","1.2 16V SXi Euro 5 5dr (A/C)"
"Toyota","Celica","2004 (04 reg)","£1,695","1.8L","Manual","122,800 miles","Petrol","3","1.8 VVTL-i T Sport 3dr (leather)"
"SKODA","Octavia","2011 (61 reg)",NA,"Manual","Manual","147,000 miles
23,351 miles above average","Diesel","5","2.0 TDI Scout 4WD Euro 5 5dr"
"Ford","Fiesta","2012 (12 reg)",NA,"1.4L","Manual","70,500 miles
22,839 miles below average","Diesel","5","1.4 TDCi DPF Zetec 5dr"
"Nissan","Juke","2013 (13 reg)",NA,"1.5L","Manual","70,969 miles
22,156 miles below average","Diesel","5","1.5 dCi 8v Visia SUV 5dr Diesel Manual Euro 5 (s/s) (110 ps)"
"Volkswagen","Scirocco","2009 (59 reg)","£1,500","1.4L","Manual","125,279 miles","Petrol","3","1.4 TSI Hatchback 3dr Petrol Manual Euro 5 (160 ps)"
"MINI","Hatch","2006 (56 reg)",NA,"Manual","Manual","102,400 miles","Petrol","4","1.6 Cooper Euro 4 3dr"
